CW Gowans, "Gowans, Christopher W"
R Repetti, "Repetti, Rick"
K Wattanagun, "Wattanagun, Kanya"
P Jones, "Jones, Patrick"
B Anālayo, "Analayo, Bhikkhu"
A Pitkin, "Pitkin, A."
EL Hutton, "Hutton, Eric L"
GF Davis, "Davis, Gordon Fraser"
Cowherds (Authors), ", -"
J Hamblin, "Hamblin, Jack"
A Carpenter, "Carpenter, Amber"
N Bommarito, "Bommarito, Nicolas"
S Nichols, "Nichols, Shaun"
AK Rai, "Rai, Arun K"
N Strohminger, "Strohminger, Nina"
Y Deguchi, "Deguchi, Yasuo"
G Priest, "Priest, Graham"
G Priest, "Priest, Garfield Graham"
JC Westerhoff, "Westerhoff, J. C."
DT Aitken, "Aitken, DT"
J Schlieter, "Schlieter, Jens"
A Quist, "Quist, Andrew"
J Locke, "Locke, Jessica"
O Hanner, "Hanner, Oren"
JE Locke, "Locke, Jessica E"
T Chuosavasdi, "Chuosavasdi, Thippapan"
R Pulido Moyano, "Moyano, Rafael Pulido"
RP Moyano, "Moyano, Rafael Pulido"
G Vignato, "Vignato, Giuseppe"
VMB Giorgino, "GIORGINO, VINCENZO MARIO BRUNO"
X Renteria-Uriarte, "RENTERIA-URIARTE, XABIER"
G Pettigrove, "Pettigrove, Glen"
M Jerryson, "Jerryson, Michael"
L Chen, "Chen, Lang"
H Chen, "Chen, H."
H Chen, "Chen, Huaiyu"
P Lehr, "Lehr, Peter"
MD Milligan, "Milligan, Matthew David"
MD Milligan, "Milligan, M. D."
A Green, "Green, Alexandra"
S Abrahms-Kavunenko, "Abrahms-Kavunenko, Saskia"
A Kaloyanides, "Kaloyanides, A."
AK Bretfeld-Wolf, "Bretfeld-Wolf, Activities"
B Analayo, "Analayo, Bhikkhu"
ZR Kassam, "Kassam, Zayn R"
P Bakhati, "Bakhati, Pramila"
BJ Fleenor, "Fleenor, Benjamin James"
K Tosa…, "Tosa, Keiko"
G Barstow, "Barstow, Geoffrey"
A Papaconstantinou, "Papaconstantinou, Arietta"
DL Schwartz, "Schwartz, Daniel L"
GB Levman, "Levman, Geoffrey Bryan"
J Wu, "Wu, Jiang"
J Wu, "Wu, Juan"
H Zhang, "Zhang, Hanmo"
V Analayo, "Analayo, Ven"
JA Marino, "Marino, Joseph A"
N Ostler, "Ostler, Nicholas"
S Richard, "Richard, Salomon"
SB Zacchetti, "Zacchetti, S. B."
HY Yang, "Yang, Hung-Yi"
JG Walser, "Walser, Joseph G"
C Shi, "Shi, Changtzu"
B Li, "Li, Bohan"
C Roloff, "Roloff, Carola"
U Berner, "Berner, Ulrich"
MA Rondolino, "Rondolino, Massimo A"
HR Kantor, "Kantor, affiliations"
D Shulman, "Shulman, David"
R Gamble, "Gamble, Ruth"
JW Bass, "Bass, Jeffrey Wayne"
JM McCombs, "McCombs, Jason Matthew"
K Gkoutzis, "Gkoutzis, Konstantinos"
AS Lobel, "Lobel, Adam S."
I Ratié, "Ratie, Isabelle"
LAI FONG, "FONG, LAI, YAN"
ВГ Лысенко, "Lysenko, Виктория Георгиевна"
P Schmidt-Leukel, "Schmidt-Leukel, Perry"
J Churchill, "Churchill, John"
R Devenish, "Devenish, Rodney"
M Lopez, "Lopez, M."
DC Saunders, "Saunders, David C"
R Chabot, "Chabot, Roger"
TD Boldt, "Boldt, Thea D"
NM McGovern, "McGovern, Nathan Michael"
HP Ray, "Ray, Himanshu Prabha"
S Gautama, "Gautama, Siddhartha"
T Ginsburg, "GINSBURG, Tom"
U Hüsken, "Husken, Ute"
T Ito, "Ito, Thailand Tomomi"
T Larsson, "Larsson, THAILAND Tomas"
A Kellam, "Kellam, Amy"
R Casas, "Casas, Roger"
P Williams, "Williams, Paul"
A Acri, "Acri, Andrea"
M Lehnert, "Lehnert, Martin"
M Lehnert, "LEHNERT, MARTIN"
G Samuel, "Samuel, Geoffrey"
RC Zangpo, "Zangpo, Rongzom Chokyi"
GC Goble, "Goble, Geoffrey C"
ACO Lopes, "Lopes, Ana Cristina O"
MJ Sorensen, "Sorensen, Michelle Janet"
U Tsultem, "Tsultem, Uranchimeg"
A Tribe, "Tribe, Anthony"
C Ducher, "Ducher, Cécile"
C Ducher, "Ducher, Cecile"
ЕВ Леонтьева, "Leont'eva, Елена Валерьевна"
G Vetturini, "Vetturini, Gianpaolo"
JE Nagasawa, "Nagasawa, Jake Ernest"
J Kongtrul, "Kongtrul, Jamgon"
E Huntington, "Huntington, Eric"
KK Muldowney, "Muldowney, Kristen Kail"
DK des buddhistischen Tantra, "Tantra, Die"
G Baroetto, "Baroetto, Giuseppe"
KA Vose, "Vose, Kevin A"
E Ary, "Ary, Elijah"
D Sur, "Sur, DOAJ"
P Kornicki, "Kornicki, Peter"
JRB Campbell, "Campbell, John R. B"
RR Overbey, "Overbey, Ryan Richard"
MC Wang, "Wang, Michelle C"
SC Berkwitz, "Berkwitz, Stephen C"
C Brown, "Brown, Claudia"
D Pancetti, "Pancetti, Davide"
JS Hirst, "Hirst, Jacqueline Suthren"
RD DeCaroli, "DeCaroli, Robert Daniel"
I Frydenlund, "Frydenlund, Iselin"
I Frydenlund, "FRYDENLUND, ISELIN"
R Payne, "Payne, R."
R Payne, "Payne, Richard"
RN Brock, "Brock, Rita Nakashima"
J Young, "Young, Jonathan"
JT Wilson, "Wilson, Jeffrey Townsend"
JA Fifield, "Fifield, Justin Andrew"
Y Michelson, "Michelson, Yuwen"
РТ Сабиров, "Sabirov, Р.Т."
CE Kassor, "Kassor, Constance E"
G Jacques, "Jacques, Guillaume"
AP Proffitt, "Proffitt, Aaron Patrick"
AP Proffitt, "Proffitt, Aaron P."
RD McBride II, "II, Richard D"
K Kleutghen, "Kleutghen, Kristina"
JYF Yu, "Yu, Jimmy Yung Fung"
J Taye, "Taye, Jamgon"
EM Callahan, "Callahan, Elizabeth M."
LYK Lau, "Lau, Lawrence Y K"
AS Amar, "Amar, Abhishek Singh"
AS Amar, "AMAR, ABHISHEK S"
M Willis, "Willis, Michael"
BL Turco, "TURCO, Bruno Lo"
J Gong, "Gong, Jun"
SJ Roe, "Roe, Sharon J"
T Spiranec, "Spiranec, Tomislav"
D Hirshberg, "Hirshberg, Daniel"
CJ Ying, "Ying, Chinghui Jianying"
K Brunnhölzl, "Brunnholzl, Karl"
G Kaushik, "Kaushik, Garima"
W Sucharitthammakul, "Sucharitthammakul, Wilaiporn"
A Strathern, "Strathern, Alan"
M Lambkin, "Lambkin, Magdalen"
V Lysenko, "Lysenko, Viktoria"
A Palumbo, "Palumbo, Antonello"
M Philonenko, "Philonenko, Marc"
K Muldoon-Hules, "Muldoon-Hules, Karen"
HY Guo, "Guo, Hong Yue"
LT Huang, "Huang, Li Ting"
G Kardas, "Kardas, Goran"
KL Meyers, "Meyers, Karin L"
K Brunnholzl, "Brunnholzl, Karl"
F Staal, "Staal, Frits"
PE Bloom, "Bloom, Phillip Emmanual"
M Geslani, "Geslani, Marko"
M Mackay, "Mackay, Margie"
SE Pustay, "Pustay, Steven E"
J Ohnishi, "Ohnishi, Junji"
S Ayuzawa, "Ayuzawa, Satoshi"
S Nakamura…, "Nakamura, Seiji"
S Zitterbart, "Zitterbart, Susan"
M Hosak, "Hosak, Mark"
H Veere, "Veere, H."
K O'Brien-Kop, "O'Brien-Kop, Karen"
JS Strong, "Strong, John S"
S Teiser, "Teiser, Strong Stephen"
T Storch, "Storch, Tanya"
B Marlowe, "Marlowe, Britt"
H Choi, "Choi, Hyejeong"
KJ Kucera, "Kucera, Karil J"
G Jung, "Jung, Ghichul"
JEE Pettit, "Pettit, Jonathan Edwin Eugene"
JEE Pettit, "Pettit, J E E"
Y Sun, "Sun, Yinggang"
BL Smith, "Smith, Bardwell L"
AY Guillou, "Guillou, Anne Yvonne"
IG Baird, "Baird, Ian G"
EH Epperson, "Epperson, Erin Hillary"
R Lindsay, "Lindsay, Rory"
A Herrou, "Herrou, Adeline"
KL Tsomo, "Tsomo, Karma Lekshe"
CL Ivey, "Ivey, Christina L"
EA DeVido, "DeVido, Elise Anne"
T Mohr, "Mohr, Thea"
J Tsedroen, "Tsedroen, Jampa"
C Wang, "Wang, C."
Y Wang, "Wang, Youru"
W Spink, "Spink, Walter"
C Clark, "Clark, Chris"
KS Palmo, "Palmo, KS"
RL Twist, "Twist, Rebecca L."
T Zivkovic, "Zivkovic, Tanya"
I Vargas-O'Bryan, "Vargas-O'Bryan, Ivette M"
S Ujeed, "Ujeed, Sangseraima"
F Ferrari, "Ferrari, Fabrizio"
DD Drewes, "Drewes, David Donald"
HE O'Neal, "O'Neal, Halle Elizabeth"
RK Payne, "Payne, Richard K"
MS Abramson, "Abramson, Marc S"
G Raz, "Raz, Gil"
M Whaley, "Whaley, Mark"
Y Shao-Yun, "SHAO-YUN, YANG"
S Yang, "Yang, Shao-yun"
J Geaney, "Geaney, Jane"
T Yost, "Yost, Tyson"
Z Liu, "Liu, Zhen"
E Wang, "Wang, Emilie"
H Collinson, "Collinson, Hazel"
NF Yuen, "Yuen, Ng-Fung"
B Foulks, "Foulks, Beverley"
N Broy, "Broy, Nikolas"
CW Park, "Park, notes"
R Sheng, "Sheng, Ruth"
C Cheng, "Cheng, C."
SL McClintock, "McClintock, Sara L"
J Blumenthal, "Blumenthal, James"
J Schapiro, "Schapiro, Joshua"
A Cole, "Cole, Alan"
D Burton-Rose, "Burton-Rose, Daniel"
WW Muriuki, "Muriuki, Wamae Wachanga"
C Anderl, "Anderl, Christoph"
S Mrozik, "Mrozik, Susanne"
A Rotman, "Rotman, Andy"
M Straube, "Straube, Martin"
P Admirand, "Admirand, Peter"
DK Ramoo, "Ramoo, Dinesh K"
G Ducœur, "Ducoeur, Guillaume"
ЕС Лепехова, "Lepekhova, Елена Сергеевна"
M Schlütter, "Schlutter, Morten"
EA Morrison, "Morrison, Elizabeth A"
HL Wang, "Wang, Hsuan-Li"
VMN Breugem, "Breugem, V.M.N."
J Duerlinger, "Duerlinger, James"
C Park, "Park, Changhwan"
ИВ Маневская, "Manevskaia, Илона Викторовна, "
ДВ Оленев, "Olenev, Дмитрий Владимирович"
N Duoji, "Duoji, Nyingcha"